year,degree,work,age,job_satisfied,happy,sex,age_range
1972,less than high school,no,69,NA,very happy,female,age 60-79
1972,less than high school,yes,72,NA,pretty happy,male,age 60-79
1972,less than high school,NA,59,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,no,69,NA,very happy,female,age 60-79
1972,less than high school,yes,58,NA,pretty happy,female,age 40-59
1972,less than high school,NA,53,very satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,62,very satisfied,very happy,male,age 60-79
1972,less than high school,NA,58,moderately satisfied,pretty happy,male,age 40-59
1972,high school,yes,32,NA,pretty happy,female,age 20-39
1972,high school,no,58,NA,pretty happy,female,age 40-59
1972,high school,no,70,NA,pretty happy,female,age 60-79
1972,less than high school,NA,69,very satisfied,pretty happy,male,age 60-79
1972,less than high school,NA,36,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,NA,47,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,31,NA,pretty happy,male,age 20-39
1972,less than high school,yes,81,NA,pretty happy,female,age 80-100
1972,high school,NA,24,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,51,very satisfied,pretty happy,female,age 40-59
1972,less than high school,yes,69,NA,not too happy,female,age 60-79
1972,high school,NA,30,moderately satisfied,very happy,female,age 20-39
1972,less than high school,NA,69,very satisfied,pretty happy,male,age 60-79
1972,less than high school,NA,45,very satisfied,not too happy,male,age 40-59
1972,high school,NA,24,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,66,NA,very happy,male,age 60-79
1972,high school,yes,29,NA,not too happy,female,age 20-39
1972,less than high school,yes,57,NA,not too happy,female,age 40-59
1972,less than high school,yes,58,moderately satisfied,very happy,male,age 40-59
1972,less than high school,NA,77,very satisfied,pretty happy,male,age 60-79
1972,graduate,yes,30,NA,very happy,female,age 20-39
1972,high school,NA,56,moderately satisfied,pretty happy,female,age 40-59
1972,high school,NA,49,very satisfied,pretty happy,female,age 40-59
1972,less than high school,yes,52,NA,pretty happy,female,age 40-59
1972,less than high school,NA,40,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,48,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,47,NA,pretty happy,female,age 40-59
1972,high school,NA,31,very satisfied,very happy,male,age 20-39
1972,high school,no,21,NA,pretty happy,male,age 20-39
1972,less than high school,yes,84,NA,not too happy,female,age 80-100
1972,less than high school,yes,61,NA,pretty happy,female,age 60-79
1972,high school,NA,46,a little dissatisfied,pretty happy,female,age 40-59
1972,bachelor's,NA,39,moderately satisfied,not too happy,female,age 20-39
1972,less than high school,NA,64,very satisfied,pretty happy,female,age 60-79
1972,less than high school,NA,77,very satisfied,pretty happy,male,age 60-79
